#t  uxym  vxum  uule  vvle  wwle  uwle  vwle  wcube

  wtle  uwsb  vwsb  ttle  wtsb  englez  engsbz
   0.38225461E+05   0.12809938E+02   0.55560927E+01   0.22765248E+01   0.18785281E+01   0.88785744E+00  -0.54978621E+00  -0.14398295E+00   0.48028308E+00   0.10916303E+00  -0.28197041E-02  -0.48673878E-03   0.38611904E-01   0.12239221E-02   0.24705665E+01   0.13763267E+00
   0.38225797E+05   0.12810321E+02   0.55558629E+01   0.22766373E+01   0.18778590E+01   0.88777727E+00  -0.54982287E+00  -0.14393097E+00   0.47926351E+00   0.10913099E+00  -0.28198606E-02  -0.48928574E-03   0.38596917E-01   0.12257120E-02   0.24703028E+01   0.13762952E+00
   0.38226133E+05   0.12810703E+02   0.55556316E+01   0.22767861E+01   0.18771776E+01   0.88770109E+00  -0.54986507E+00  -0.14388196E+00   0.47828081E+00   0.10909893E+00  -0.28202638E-02  -0.49174146E-03   0.38582172E-01   0.12275152E-02   0.24700310E+01   0.13762699E+00
   0.38226477E+05   0.12811092E+02   0.55553956E+01   0.22769744E+01   0.18764744E+01   0.88762408E+00  -0.54991460E+00  -0.14383385E+00   0.47731596E+00   0.10906735E+00  -0.28210105E-02  -0.49402326E-03   0.38567573E-01   0.12294467E-02   0.24697461E+01   0.13762490E+00
   0.38226813E+05   0.12811472E+02   0.55551639E+01   0.22772055E+01   0.18757807E+01   0.88755810E+00  -0.54997116E+00  -0.14378668E+00   0.47640550E+00   0.10904059E+00  -0.28217495E-02  -0.49633166E-03   0.38553625E-01   0.12313530E-02   0.24694688E+01   0.13762328E+00
   0.38227152E+05   0.12811846E+02   0.55549335E+01   0.22774794E+01   0.18750899E+01   0.88749874E+00  -0.55003625E+00  -0.14373867E+00   0.47553226E+00   0.10901952E+00  -0.28226415E-02  -0.49867789E-03   0.38540035E-01   0.12331789E-02   0.24691951E+01   0.13762166E+00
   0.38227492E+05   0.12812221E+02   0.55547009E+01   0.22777996E+01   0.18743910E+01   0.88744020E+00  -0.55011195E+00  -0.14368795E+00   0.47467557E+00   0.10899524E+00  -0.28237831E-02  -0.50103007E-03   0.38526509E-01   0.12349812E-02   0.24689178E+01   0.13762042E+00
   0.38227836E+05   0.12812594E+02   0.55544662E+01   0.22781680E+01   0.18736880E+01   0.88738286E+00  -0.55019951E+00  -0.14363357E+00   0.47383490E+00   0.10897212E+00  -0.28249728E-02  -0.50346943E-03   0.38513273E-01   0.12368372E-02   0.24686403E+01   0.13761996E+00
   0.38228176E+05   0.12812960E+02   0.55542345E+01   0.22785826E+01   0.18729997E+01   0.88733274E+00  -0.55029833E+00  -0.14357573E+00   0.47302708E+00   0.10895312E+00  -0.28260958E-02  -0.50599239E-03   0.38500566E-01   0.12386214E-02   0.24683743E+01   0.13761964E+00
   0.38228516E+05   0.12813322E+02   0.55540023E+01   0.22790456E+01   0.18723185E+01   0.88728559E+00  -0.55041003E+00  -0.14351331E+00   0.47223631E+00   0.10893460E+00  -0.28274476E-02  -0.50861738E-03   0.38488131E-01   0.12404231E-02   0.24681151E+01   0.13761927E+00
   0.38228859E+05   0.12813683E+02   0.55537677E+01   0.22795594E+01   0.18716416E+01   0.88723910E+00  -0.55053604E+00  -0.14344558E+00   0.47145292E+00   0.10891857E+00  -0.28287778E-02  -0.51144831E-03   0.38475975E-01   0.12422281E-02   0.24678614E+01   0.13761915E+00
   0.38229203E+05   0.12814036E+02   0.55535336E+01   0.22801206E+01   0.18709813E+01   0.88719720E+00  -0.55067533E+00  -0.14337322E+00   0.47068650E+00   0.10890390E+00  -0.28301172E-02  -0.51423896E-03   0.38464241E-01   0.12439473E-02   0.24676220E+01   0.13761923E+00
   0.38229543E+05   0.12814383E+02   0.55533004E+01   0.22807267E+01   0.18703419E+01   0.88716102E+00  -0.55082732E+00  -0.14329666E+00   0.46993661E+00   0.10889301E+00  -0.28315599E-02  -0.51728147E-03   0.38452987E-01   0.12456174E-02   0.24674003E+01   0.13761915E+00
   0.38229883E+05   0.12814724E+02   0.55530667E+01   0.22813778E+01   0.18697200E+01   0.88712859E+00  -0.55099255E+00  -0.14321586E+00   0.46919355E+00   0.10888358E+00  -0.28329536E-02  -0.52048493E-03   0.38442090E-01   0.12472030E-02   0.24671950E+01   0.13761912E+00
   0.38230227E+05   0.12815061E+02   0.55528312E+01   0.22820752E+01   0.18691121E+01   0.88709831E+00  -0.55117154E+00  -0.14313081E+00   0.46844846E+00   0.10887378E+00  -0.28341347E-02  -0.52381150E-03   0.38431626E-01   0.12487270E-02   0.24670055E+01   0.13761921E+00
   0.38230566E+05   0.12815393E+02   0.55525932E+01   0.22828162E+01   0.18685194E+01   0.88707078E+00  -0.55136389E+00  -0.14304210E+00   0.46769920E+00   0.10886738E+00  -0.28353599E-02  -0.52727951E-03   0.38421564E-01   0.12502503E-02   0.24668334E+01   0.13761887E+00
   0.38230910E+05   0.12815722E+02   0.55523543E+01   0.22835975E+01   0.18679445E+01   0.88704717E+00  -0.55156833E+00  -0.14295058E+00   0.46694577E+00   0.10885875E+00  -0.28365569E-02  -0.53119101E-03   0.38411837E-01   0.12517478E-02   0.24666820E+01   0.13761818E+00
   0.38231250E+05   0.12816044E+02   0.55521150E+01   0.22844126E+01   0.18673908E+01   0.88702947E+00  -0.55178303E+00  -0.14285739E+00   0.46619111E+00   0.10885464E+00  -0.28375753E-02  -0.53535262E-03   0.38402669E-01   0.12531203E-02   0.24665539E+01   0.13761717E+00
   0.38231594E+05   0.12816361E+02   0.55518737E+01   0.22852628E+01   0.18668520E+01   0.88701558E+00  -0.55200863E+00  -0.14276248E+00   0.46542692E+00   0.10885412E+00  -0.28384675E-02  -0.53984625E-03   0.38393896E-01   0.12544426E-02   0.24664471E+01   0.13761583E+00
   0.38231934E+05   0.12816675E+02   0.55516300E+01   0.22861435E+01   0.18663287E+01   0.88700628E+00  -0.55224401E+00  -0.14266658E+00   0.46465456E+00   0.10885299E+00  -0.28391406E-02  -0.54465764E-03   0.38385503E-01   0.12557174E-02   0.24663618E+01   0.13761371E+00
   0.38232277E+05   0.12816986E+02   0.55513840E+01   0.22870514E+01   0.18658197E+01   0.88700181E+00  -0.55248857E+00  -0.14257018E+00   0.46387389E+00   0.10885233E+00  -0.28397616E-02  -0.54971932E-03   0.38377419E-01   0.12569223E-02   0.24662981E+01   0.13761121E+00
   0.38232621E+05   0.12817293E+02   0.55511360E+01   0.22879815E+01   0.18653259E+01   0.88700312E+00  -0.55274069E+00  -0.14247403E+00   0.46308860E+00   0.10885163E+00  -0.28402102E-02  -0.55501977E-03   0.38369786E-01   0.12581152E-02   0.24662564E+01   0.13760841E+00
   0.38232965E+05   0.12817596E+02   0.55508866E+01   0.22889280E+01   0.18648484E+01   0.88701123E+00  -0.55299914E+00  -0.14237870E+00   0.46230304E+00   0.10885249E+00  -0.28404358E-02  -0.56069496E-03   0.38362600E-01   0.12592640E-02   0.24662364E+01   0.13760525E+00
   0.38233305E+05   0.12817897E+02   0.55506358E+01   0.22898846E+01   0.18643885E+01   0.88702708E+00  -0.55326223E+00  -0.14228487E+00   0.46152267E+00   0.10885245E+00  -0.28404363E-02  -0.56657387E-03   0.38355868E-01   0.12605292E-02   0.24662378E+01   0.13760136E+00
   0.38233648E+05   0.12818193E+02   0.55503836E+01   0.22908480E+01   0.18639452E+01   0.88705057E+00  -0.55352938E+00  -0.14219271E+00   0.46074837E+00   0.10885622E+00  -0.28402868E-02  -0.57250645E-03   0.38349543E-01   0.12616902E-02   0.24662592E+01   0.13759685E+00
   0.38233992E+05   0.12818487E+02   0.55501308E+01   0.22918115E+01   0.18635212E+01   0.88708270E+00  -0.55379891E+00  -0.14210273E+00   0.45998606E+00   0.10885841E+00  -0.28398591E-02  -0.57879672E-03   0.38343690E-01   0.12628684E-02   0.24663000E+01   0.13759167E+00
   0.38234336E+05   0.12818779E+02   0.55498776E+01   0.22927697E+01   0.18631177E+01   0.88712412E+00  -0.55406946E+00  -0.14201526E+00   0.45924014E+00   0.10886260E+00  -0.28392652E-02  -0.58505911E-03   0.38338292E-01   0.12641036E-02   0.24663591E+01   0.13758606E+00
   0.38234680E+05   0.12819068E+02   0.55496240E+01   0.22937195E+01   0.18627342E+01   0.88717437E+00  -0.55434060E+00  -0.14193027E+00   0.45851180E+00   0.10887178E+00  -0.28384458E-02  -0.59096061E-03   0.38333308E-01   0.12653100E-02   0.24664347E+01   0.13758016E+00
   0.38235023E+05   0.12819355E+02   0.55493703E+01   0.22946527E+01   0.18623749E+01   0.88723505E+00  -0.55460984E+00  -0.14184822E+00   0.45780900E+00   0.10887726E+00  -0.28374898E-02  -0.59700472E-03   0.38328715E-01   0.12664662E-02   0.24665270E+01   0.13757357E+00
